cno varchar,ctitle varchar,cdesc varchar,noofunits integer,haslab integer,semoffered varchar
cno
'CMSC 11'^'Introduction to Computer Science'^'Introduction to the major areas of computer science; software systems and methodology; computer theory; computer organization and architecture.'^3^1^'1st 2nd'
'CMSC 123'^'Data Structures'^'Abstract data types and implementation of data structures; arrays, stacks, queues, linked lists, mappings, trees, sets and graphs; internal and external searching and sorting; dynamic storage management.'^3^1^'1st 2nd'
'CMSC 130'^'Logic Design and Digital Computer Circuits'^'Data representation and computer arithmetic; logic functions and equations; description, analysis and design of combinatorial and sequential circuits; functional properties of digital integrated circuits.'^3^1^'1st 2nd'
'CMSC 131'^'Introduction to Computer Organization and Machine-Level Programming'^'An introduction to computer organization and interfaces between hardware and software; Microcomputer systems: basic computer organization, memory addressing, CPU-memory-I/O relationships, interfacing, interrupt mechanisms; Assembly language: data structure repreentations, program control implementations, subroutines, parameter passing, recursion, direct-video graphics, serial port communications.'^3^1^'1st 2nd'
'CMSC 132'^'Computer Architecture'^'Advanced topics in computer systems organization from a designer's point of view: multiprocessing, pipelining, array processors, associative processors; Microprogramming, techniques for increasing primary memory bandwidths; Modularization, interleaving, access path widening, cache and associative memories; Virtual memory; Bus structures; Multiprogramming and time sharing organizations; Network principles and protocols; Distributed resources.'^3^1^'1st 2nd'
'CMSC 2'^'Introduction to the Internet'^'Tools and services of the Internet, Internet protocols, search engines, file transfer protocol (FTP), email, listservers and HTML programming'^3^1^'1st 2nd'
'CMSC 21'^'Fundamentals of Programming'^'Expansion and development of materials introduced in CMSC 11; processing files and linked-lists; programming in the C language; recursion; systematic program development; top-down design and program verification.'^3^1^'1st 2nd'
'CMSC 22'^'Object-Oriented Programming'^'Programming using an object-oriented language'^3^1^'1st 2nd'
1^'Badger, honey'^'monetize interactive eyeballs'^1^1^'2nd'
10^'Bunting, crested'^'evolve turn-key e-services'^1^1^'Sum'
100^'Dabchick'^'matrix next-generation initiatives'^3^0^'2nd'
1000^'American black bear'^'engineer B2B experiences'^1^0^'Sum'
101^'Armadillo, seven-banded'^'embrace cross-platform eyeballs'^2^0^'2nd'
102^'Bushbaby, large-eared'^'incubate sexy vortals'^1^0^'1st'
103^'Crowned eagle'^'utilize B2B systems'^1^0^'Sum'
104^'Ground monitor (unidentified)'^'deliver dynamic mindshare'^2^0^'1st'
105^'Bontebok'^'grow bricks-and-clicks e-commerce'^2^1^'Sum'
106^'Giant armadillo'^'mesh world-class systems'^2^0^'2nd'
107^'Deer, mule'^'embrace intuitive partnerships'^2^0^'1st'
108^'Tortoise, indian star'^'innovate web-enabled functionalities'^2^0^'2nd'
109^'Levaillant''s barbet'^'scale intuitive content'^1^1^'1st'
11^'Asiatic wild ass'^'synergize intuitive eyeballs'^2^0^'Sum'
110^'Rainbow lory'^'exploit holistic infrastructures'^2^0^'1st'
111^'Brown lemur'^'redefine 24/365 ROI'^3^1^'1st'
112^'Kangaroo, red'^'optimize frictionless e-commerce'^2^0^'2nd'
113^'Dove, rock'^'redefine open-source infomediaries'^1^1^'Sum'
114^'Wattled crane'^'grow web-enabled web services'^3^1^'Sum'
115^'Stork, white'^'enable killer functionalities'^2^0^'2nd'
116^'Goose, egyptian'^'exploit virtual experiences'^3^0^'1st'
117^'Wallaby, river'^'transition killer mindshare'^2^0^'1st'
118^'Indian porcupine'^'strategize integrated technologies'^2^1^'Sum'
119^'Indian peacock'^'brand back-end portals'^3^1^'Sum'
12^'Miner''s cat'^'seize cutting-edge eyeballs'^3^0^'Sum'
120^'Starling, greater blue-eared'^'enable killer niches'^3^0^'1st'
121^'Quoll, spotted-tailed'^'maximize frictionless content'^2^0^'1st'
122^'Rhinoceros, white'^'deploy innovative applications'^1^0^'2nd'
